sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
24N02484	1	Plate1	225C2WLT4	ILLUMINA	3	24N02484	24N02484-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02484/B_24N02484_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02484/B_24N02484_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	4109448.94	4063349.726
24N02485	1	Plate2	225CWMLT4	ILLUMINA	1	24N02485	24N02485-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02485/B_24N02485_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02485/B_24N02485_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3606425.957	3584200.245
24N02486	1	Plate2	225CWMLT4	ILLUMINA	1	24N02486	24N02486-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02486/B_24N02486_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02486/B_24N02486_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3640300.118	3634396.8
24N02487	1	Plate1	225C2WLT4	ILLUMINA	3	24N02487	24N02487-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02487/B_24N02487_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02487/B_24N02487_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	4577220.166	4544099.454
24N02488	1	Plate2	225CWMLT4	ILLUMINA	1	24N02488	24N02488-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02488/B_24N02488_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02488/B_24N02488_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	4721323.657	4724398.411
24N02497	1	Plate1	225C2WLT4	ILLUMINA	3	24N02497	24N02497-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02497/B_24N02497_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02497/B_24N02497_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	3377520.893	3326221.718
24N02498	1	Plate2	225CWMLT4	ILLUMINA	1	24N02498	24N02498-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02498/B_24N02498_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02498/B_24N02498_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	886513.918	870562.34
24N02499	1	Plate1	225C2WLT4	ILLUMINA	3	24N02499	24N02499-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02499/B_24N02499_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02499/B_24N02499_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	3968439.477	3970704.683
24N02500	1	Plate2	225CWMLT4	ILLUMINA	1	24N02500	24N02500-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02500/B_24N02500_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02500/B_24N02500_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3538632.506	3476790.567
24N02501	1	Plate1	225C2WLT4	ILLUMINA	3	24N02501	24N02501-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02501/B_24N02501_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02501/B_24N02501_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	760206.953	753169.233
24N02502	1	Plate1	225C2WLT4	ILLUMINA	3	24N02502	24N02502-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02502/B_24N02502_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02502/B_24N02502_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	2131993.52	2110319.237
24N02503	1	Plate2	225CWMLT4	ILLUMINA	1	24N02503	24N02503-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02503/B_24N02503_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02503/B_24N02503_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2866912.447	2849438.459
24N02504	1	Plate2	225CWMLT4	ILLUMINA	1	24N02504	24N02504-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02504/B_24N02504_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02504/B_24N02504_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2521610.786	2482575.312
24N02505	1	Plate2	225CWMLT4	ILLUMINA	1	24N02505	24N02505-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02505/B_24N02505_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02505/B_24N02505_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3175662.411	3175342.907
24N02506	1	Plate2	225CWMLT4	ILLUMINA	1	24N02506	24N02506-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02506/B_24N02506_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02506/B_24N02506_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3382993.733	3354023.054
24N02507	1	Plate2	225CWMLT4	ILLUMINA	1	24N02507	24N02507-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02507/B_24N02507_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02507/B_24N02507_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2862757.091	2838930.019
24N02508	1	Plate1	225C2WLT4	ILLUMINA	3	24N02508	24N02508-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02508/B_24N02508_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02508/B_24N02508_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	1613539.841	1597560.404
24N02517	1	Plate2	225CWMLT4	ILLUMINA	1	24N02517	24N02517-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02517/B_24N02517_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02517/B_24N02517_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3547737.151	3525925.921
24N02518	1	Plate2	225CWMLT4	ILLUMINA	1	24N02518	24N02518-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02518/B_24N02518_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02518/B_24N02518_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2264510.09	2240862.359
